cost_id,country_id,budget_level,avg_accommodation_per_night,avg_food_per_day,avg_transport_per_day,avg_entertainment_per_day,avg_misc_per_day,estimated_total_daily_cost,currency_code
1,1,budget,20,15,5,5,5,50,EUR
2,1,midrange,50,30,15,15,10,120,EUR
3,1,luxury,150,70,40,40,30,330,EUR
4,2,budget,45,30,15,15,10,,EUR
5,2,midrange,110,60,25,35,25,255,EUR
6,2,luxury,300,130,60,80,60,630,EUR
7,3,budget,40,30,15,15,10,110,EUR
8,3,midrange,100,60,25,30,25,240,EUR
9,3,luxury,280,120,55,70,55,580,EUR
10,4,budget,15,12,5,5,5,42,EUR
11,4,midrange,40,25,12,12,10,99,EUR
12,4,luxury,120,60,35,35,25,275,EUR
13,5,budget,35,25,10,15,10,95,EUR
14,5,midrange,85,50,20,30,20,205,EUR
15,5,luxury,250,110,50,70,50,530,EUR
16,6,budget,25,20,10,10,8,73,EUR
17,6,midrange,70,40,15,25,20,170,EUR
18,6,luxury,200,90,45,60,45,440,EUR
19,7,budget,60,40,20,20,15,155,DKK
20,7,midrange,140,80,40,45,35,340,DKK
21,7,luxury,380,160,80,90,80,790,DKK
22,8,budget,50,35,15,15,15,130,EUR
23,8,midrange,120,70,30,35,30,285,EUR
24,8,luxury,320,140,70,80,70,680,EUR
25,9,budget,50,35,20,20,15,140,EUR
26,9,midrange,130,75,30,45,35,315,EUR
27,9,luxury,400,160,80,110,90,840,EUR
28,10,budget,45,30,15,15,10,115,EUR
29,10,midrange,110,60,25,35,25,255,EUR
30,10,luxury,300,130,65,80,60,,EUR
31,11,budget,30,25,10,10,10,85,EUR
32,11,midrange,80,50,20,25,20,195,EUR
33,11,luxury,250,110,50,60,50,520,EUR
34,12,budget,25,18,8,10,8,69,HUF
35,12,midrange,65,35,15,25,15,155,HUF
36,12,luxury,180,80,40,55,40,395,HUF
37,13,budget,45,35,15,20,15,130,EUR
38,13,midrange,120,70,25,40,30,285,EUR
39,13,luxury,350,150,70,90,70,730,EUR
40,14,budget,35,30,10,10,10,95,EUR
41,14,midrange,90,55,20,25,20,210,EUR
42,14,luxury,260,120,50,60,50,540,EUR
43,15,budget,20,18,8,8,6,60,EUR
44,15,midrange,55,35,15,15,15,,EUR
45,15,luxury,160,80,45,45,35,365,EUR
46,16,budget,60,40,15,20,15,150,EUR
47,16,midrange,140,80,30,45,35,330,EUR
48,16,luxury,360,160,70,90,80,760,EUR
49,17,budget,12,10,4,5,4,35,MKD
50,17,midrange,35,22,10,10,8,85,MKD
51,17,luxury,100,50,30,30,20,230,MKD
52,18,budget,65,45,20,20,20,170,NOK
53,18,midrange,160,95,45,50,40,390,NOK
54,18,luxury,420,200,90,110,100,920,NOK
55,19,budget,25,20,8,10,7,70,PLN
56,19,midrange,65,40,15,20,15,155,PLN
57,19,luxury,190,85,40,55,40,410,PLN
58,20,budget,30,25,10,10,10,85,EUR
59,20,midrange,85,50,20,25,20,200,EUR
60,20,luxury,240,110,50,60,50,510,EUR
61,21,budget,15,12,5,5,5,42,RSD
62,21,midrange,40,28,12,12,10,,RSD
63,21,luxury,130,65,35,35,25,290,RSD
64,22,budget,35,25,10,15,10,95,EUR
65,22,midrange,90,50,20,30,20,210,EUR
66,22,luxury,240,110,50,60,50,510,EUR
67,23,budget,40,30,15,15,10,,EUR
68,23,midrange,100,60,25,35,25,245,EUR
69,23,luxury,300,130,65,80,60,635,EUR
70,24,budget,55,40,18,18,15,,SEK
71,24,midrange,135,85,40,45,35,340,SEK
72,24,luxury,380,180,85,95,85,825,SEK
73,25,budget,75,50,30,30,25,210,CHF
74,25,midrange,180,110,60,65,55,470,CHF
75,25,luxury,500,240,130,160,120,,CHF
76,26,budget,60,40,25,20,20,165,GBP
77,26,midrange,145,85,50,50,40,370,GBP
78,26,luxury,450,190,100,120,100,960,GBP
